id_transacao,descricao_produtos
95,CALCINHA BABY BICOS PEDRITA;CAMISETA BORDADA ALGODÃO MIC;CAMISETA FRASES PINTADA ALGODÃO MIC MODA INFANTIL;KIT INFANTIL CASACO SAPATINHO TOUCA E LÃ PATIBU TRICOT
96,BODY LISO MC CANELADO YANAI;BODY RIBANA L ESTAMPADO;KIT PANTUFA DENGUINHO;MEIA POLIAMIDA SORTIDA PIMPOLHO BEGECORACAO;MIJAO RIBANA LISO SPE CBORDADO ATRAS;MIJAO SUEDINE LISO SPE;MIJÃO ABERTO LISO MIC;TOALHA SOFT CARICIA BABY MNA CM X CM MINASREY
97,PIJAMA LONGO GAME OVER VIDI VICI
98,BABETE X CM RBB SOFT C UN BE HAPPY MINASREY;BABETE X CM RBB SOFT C UN CIRCUS LOU. MINASREY;CALCINHA ESTAMPADA MALHA ALGODAO JULY KIDS MODA INTIMA;CALCINHA TANGA FOFINHA SG KIDS;CONJUNTO REGATA C TAPA FRALDA BILU BILU BABY;CUECA DOM MATHEUS COM CÓS;CUECA TRADICIONAL DOM MATHEUS;REGATA MACHAO SERGIO MODAS;VESTIDO MALHA CANELADA PRETO;VESTIDO MEIA MALHA PENTEADA MB NAVY ROSA
99,KIT MEIA LISA C PARES NO TAG PIMPOLHO MASCULINO A
100,LEGUE CURTA ESTAMPADA D'VYSTEK;LEGUE CURTA LISA D'VYSTEK;REGATA MALHA FRIA L&D
101,CALCINHA ESTAMPADA LUZIANE;TOALHAS DE DESENHO
102,BLUSA STICHBELINHA;CALCINHA LISA JUVENIL LUZIANE;TOALHAS DE DESENHO
103,CONJUNTO ANIMAIS KYLY
104,SANDALIA PIMPOLHO FASE PRATA
105,TOALHA LISA DE ROSTO
106,LEGUE CURTA LISA D'VYSTEK
107,TOALHA LISA DE ROSTO
108,CAMISA GOLA PADRE .NEW AMSTER AMARELO PIC NIC;CAMISA REGATA MACHAO ITALICO;CONJUNTO CAMISA LISA E BERMUDA ESTAMPADA TTHEUS;CONJUNTO ..PENMOLETOM APOLO LISTRADO AMARELO;CONJUNTO MOLETOM COM CAMISA DE LISTRA LAZINHO;CUECA DOM MATHEUS DE CÓS ADULTO;REGATA MARANDS;SHORT TACTEL MAURICINHO MAR DE PRATA
109,CAMISA MACHAO SERGIO MODAS JUVENIL;CUECA BOX JUVENIL
110,CAMISA GOLA CARECA LISA REF GC MARANDS;CAMISA REGATA MACHAO ITALICO;CONJUNTO ..PENTMOLETOM SFE SURF BEGE;CONJUNTO ..PENTMOLETOM SFE VERDE CORAL;CONJUNTO MAL.BERLIMTEC. SARJA AZUL BRUMA;CONJUNTO MOLETOM COM CAMISA DE LISTRA LAZINHO
111,BABY DOLL JUVENIL DURMA COM STYLO;BABY DOOL JUVENIL LA NUT;CALCINHA LISA JUVENIL LUZIANE;MEIA COLORIDA - FEM PIMPOLHO ROSAONCA;MEIA INFANTIL COLORIDA - FEM PIMPOLHO ROSEZEBRA;MEIA LISA INVISIVEL - UNISSEX PIMPOLHO BRANCA
112,CAMISETA BORDADA ALGODÃO MIC;SANDALIA MINI TREKKER PIMPOLHO FASE CARAMELO;SHORT RETO ALGODÃO LISO MIC
113,CALCINHA TANGA FOFINHA SG KIDS
114,MACACAO PIETRO KIKARINHO MODA BEBÊ
115,MEIA COLORIDA CANO ALTO - MASC PIMPOLHO AZULTUBARAO;TOALHAS DE DESENHO
116,TOALHA LISA DE ACADEMIA;TOALHAS DE DESENHO
117,BIQUINI BERNA BABY
118,CALCINHA GUIPIR LA MAYARA;FAIXA MAJU;VESTIDO MALHA WAFFLE MB VERMELHO NATTY
119,CAMISA MANGA CURTA ITALICO;SHORT TACTEL MAURICINHO MAR DE PRATA
120,OCULOS DE SOL INFANTIL UNICO UNISSEX PIMPOLHO ROSA GLITTERRETRO
121,VESTIDO MALHA VISCO LADY VERMELHO CEREJA
122,REGATA CANELADA MANIA VISUAL LD CL KIDS
123,ALIMENTADOR INFANTIL DE SILICONE UNICO UNISSEX PIMPOLHO
